Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Номенклатура;;;;;;;;;;;;ХРК;ХРК ЕК;
;;;;;;;;;;;;руб;руб;
;;;;;;;;;;;;Включает НДС;Включает НДС;
;;;;;;;;;;;;Цена;Цена;
Продукция;;;;;;;;;;;;;;
HoReCa минус;;;;;;;;;;;;;;
Форель филе малосоленое н/к в/у Трим А (кг) ;;;;;;;;;;;;1 965,60;;
Форель филе с/м н/к в/у Трим А (кг) ;;;;;;;;;;;;1 911,60;;
Форель филе с/с в/у Трим С (горная) Фуд Тим (кг) ;;;;;;;;;;;;1 512,00;;
Форель филе с/с н/к в/у Трим А 0,9-1,1кг вес ~12кг Турция Маринист (кг) ;;;;;;;;;;;;1 761,60;;
Форель филе с/с н/к в/у Трим С 0,9-1,2кг вес ~13кг (кг) Россия (сырьё Турция) МореРыбы;;;;;;;;;;;;1 929,60;;
Форель филе с/с н/к в/у Трим С 1,1-1,6кг вес ~13кг (кг) Россия (сырьё Китай) МореРыбы;;;;;;;;;;;;2 025,60;;
Форель филе холодного копчения Трим А (кг);;;;;;;;;;;;1 947,60;;
1.8 Столовая рыба;;;;;;;;;;;;;;
Горбуша ПБГ с/м 22 кг (кор);;;;;;;;;;;;522,00;;
Горбуша ПСГ с/м 22кг (кор).;;;;;;;;;;;;432,00;;
Горбуша филе н/к с/м 10 кг Россия (кор);;;;;;;;;;;;548,40;;
Минтай б/г с/м 25+ (22кг) (кор);;;;;;;;;;;;240,50;;
Минтай филе б/к фас. 0,6кг/12шт (шт);;;;;;;;;;;;304,20;;
Минтай филе б/к фас.1 кг (кг);;;;;;;;;;;;500,50;;
Сельдь т/о 300-400 олюторская с/м 18кг/кор (кор);;;;;;;;;;;;283,40;;
Терпуг н/р с/м 800+ 24кг/кор (кор);;;;;;;;;;;;442,00;;
Треска с/м б/г L 15кг/кор (кор);;;;;;;;;;;;659,75;;
Филе Судака 400+ 10кг (кор);;;;;;;;;;;;879,00;;
Филе Судака н/к 200-400 10кг (кор);;;;;;;;;;;;789,00;;
1.9 Японская кухня;;;;;;;;;;;;;;
**Икра Масаго зеленая ПУТИНА 500гр/6шт, Россия (шт);;;;;;;;;;;;585,00;;
**Икра Масаго черная ПУТИНА 500гр/6шт, Россия (шт);;;;;;;;;;;;562,50;;
**Соевый белковый продукт Тофу Инари 850 гр Россия (шт);;;;;;;;;;;;979,58;;
Икра Масаго-ЭНКО зеленая 500гр/6шт Санта Бремор (шт);;;;;;;;;;;;565,65;;
Икра Масаго-ЭНКО красная 500гр/6шт Санта Бремор (шт);;;;;;;;;;;;587,60;;
Икра Масаго-ЭНКО оранжевая 500гр/6шт Санта Бремор (шт);;;;;;;;;;;;587,60;;
Икра Масаго-ЭНКО черная 500гр/6шт Санта Бремор (шт);;;;;;;;;;;;564,38;;
Кларий угревидный обжареный вес Унаги (кг);;;;;;;;;;;;904,50;;
Кларий угревидный обжареный вес.Россия (кг);;;;;;;;;;;;901,80;;
"Крабовые палочки ""Снежный краб"" Санта Бремор, 500 гр/12шт (шт)";;;;;;;;;;;;280,80;;
Салат Хияши вакаме Tamaki PRO 1кг/10уп (шт);;;;;;;;;;;;271,36;;
Тесто для Спринг Роллз 550г/20шт Китай (шт);;;;;;;;;;;;448,50;;
"Тунец ""Еллоуфин"" ААА (300-500) с/м Въетнам (кг)";;;;;;;;;;;;1 661,40;;
"Тунец ""Еллоуфин"" ААА (300-500) с/м Китай (кг)";;;;;;;;;;;;1 687,40;;
"Тунец ""Еллоуфин"" ААА (500-800) с/м Вьетнам (кг)";;;;;;;;;;;;1 739,40;;
"Тунец ""Еллоуфин"" ААА (500-800) с/м Китай (кг)";;;;;;;;;;;;1 781,25;;
Тунец с/м лойны 2+ Вьетнам (кг);;;;;;;;;;;;1 035,00;;
Тунец с/м лойны 2+ Китай (кг);;;;;;;;;;;;1 125,00;;
Угорь жареный в тех.соусе Risma вакуум Китай (кг);;;;;;;;;;;;2 265,90;;
Угорь жареный в/у Sango в тех.соусе 20% Китай (кг) ;;;;;;;;;;;;2 233,40;;
Угорь жареный, в техническом соусе в/у, 10кг (кг);;;;;;;;;;;;2 103,40;;
Чука салат Risma бокс 2кг/4шт Китай (шт);;;;;;;;;;;;962,50;;
Чука салат из морских водорослей 1кг/10шт Россия (шт) ;;;;;;;;;;;;311,04;;
2.1 Пюре фруктовое;;;;;;;;;;;;;;
**Пюре Вишня Агробар с/м 1кг/6шт Россия (шт);;;;;;;;;;;;543,75;;
**Пюре Маракуйя с семечкой Агробар с/м 1кг/6шт Россия (шт);;;;;;;;;;;;834,60;;
Пюре Клубника Агробар с/м 1кг/6шт Россия (шт);;;;;;;;;;;;510,30;;
Пюре Малина Агробар с/м 1кг/6шт Россия (шт);;;;;;;;;;;;699,30;;
Пюре Манго Агробар с/м 1кг/6шт Россия (шт);;;;;;;;;;;;604,80;;
